project,deletions,insertions,moves,diff_path,num_conflicts,overall
lesscss-maven-plugin-conflict1,1,0,0,0,1,12.449899597988733
camus-conflict2,1,0,11,0,2,52.478567053607705
camus-conflict1,12,3,2,1,1,13.04187626480214
camus-conflict3,1,0,11,0,1,11.577796034530374
maven-importC4,1,10,11,0,2,15.402109341266277
maven-importC2,2,2,0,0,0,3.2906575520321453
maven-importC1,6,3,0,0,2,7.100296723544242
maven-importC3,0,0,0,0,0,0.0
alternator-conflict5,4,41,6,1,1,41.65333119931706
alternator-conflict6,0,1,4,0,1,4.703520556521218
alternator-conflict2,40,68,14,7,2,80.46117075956576
alternator-conflict11,0,5,11,0,1,12.59780536088408
alternator-conflict9,0,7,0,0,5,8.717797887081348
alternator-conflict10,0,1,1,0,0,1.8477590650225733
alternator-conflict1,0,2,0,0,1,2.23606797749979
alternator-conflict14,5,11,3,0,2,12.609520212918492
alternator-conflict8,0,4,0,0,0,4.47213595499958
alternator-conflict4,3,1,0,2,1,4.279792610671152
alternator-conflict3,0,1,0,0,1,1.4142135623730951
alternator-conflict12,0,8,3,0,2,8.978059438178386
alternator-conflict13,0,1,6,0,0,6.56374607448355
openhtmltopdf-importC2,0,16,2,0,1,16.43835589276777
openhtmltopdf-importC1,0,1,0,0,1,1.4142135623730951
antlr4-importC6,0,1,1,0,0,1.8477590650225733
antlr4-importC4,5,43,9,1,6,44.6476675041639
antlr4-importC5,0,0,1,0,0,1.4142135623730951
antlr4-importC2,0,0,7,0,0,7.483314773547883
antlr4-importC8,1,16,5,0,0,17.28562569373023
antlr4-importC1,0,5,1,0,0,5.235858436051637
antlr4-importC7,0,1,1,0,0,1.8477590650225733
antlr4-importC3,0,0,4,0,0,4.47213595499958
java-websocket-conflict2,0,0,2,0,0,2.449489742783178
java-websocket-conflict1,0,1,0,0,1,1.4142135623730951
duke-conflict2,0,0,17,0,0,17.4928556845359
duke-conflict1,1,0,2,0,0,2.689994047855829
duke-conflict4,0,1,0,0,1,1.4142135623730951
duke-conflict3,2,1,0,1,1,2.6457513110645907
mongojack-conflict2,0,1,0,0,0,1.4142135623730951
mongojack-conflict1,12,8,1,0,2,14.594519519326424
openshift-java-client-conflict5,4,74,23,2,1,77.64171602931957
openshift-java-client-conflict11,4,1,3,6,1,8.134019772545944
openshift-java-client-conflict9,33,144,36,7,3,152.25835133507607
openshift-java-client-conflict10,39,29,14,1,1,50.61355599844343
openshift-java-client-conflict15,136,145,128,15,28,238.5774426730715
openshift-java-client-conflict8,1,28,5,2,2,28.64348948265178
openshift-java-client-conflict4,5,5,0,0,1,7.416198487095663
openshift-java-client-conflict3,6,14,0,0,1,15.329709716755891
openshift-java-client-conflict12,59,190,35,25,3,203.5736625105947
openshift-java-client-conflict13,1,3,1,0,2,3.872983346207417
openshift-java-client-conflict7,4,12,0,0,2,12.979681658461413
TwelveMonkeys-importC2,0,0,7,0,1,7.54983443527075
TwelveMonkeys-importC1,0,6,1,0,1,6.56498434983609
cucumber.jvm-importC6,0,1,0,0,0,4.385894205005382
cucumber.jvm-importC4,1,1,0,0,1,2.0
cucumber.jvm-importC5,1,10,2,0,1,10.51582501256824
cucumber.jvm-importC2,0,9,1,1,3,9.707526357291016
cucumber.jvm-importC1,0,0,1,0,0,1.4142135623730951
cucumber.jvm-importC3,0,13,0,0,5,13.92838827718412
stateless4j-conflict6,0,1,0,0,1,1.4142135623730951
stateless4j-conflict9,0,13,3,0,2,13.543050378787385
stateless4j-conflict8,0,1,1,0,1,2.0
stateless4j-conflict4,0,1,1,0,1,2.0
stateless4j-conflict3,0,21,1,0,7,22.181073012818835
stateless4j-conflict7,0,0,1,0,0,1.4142135623730951
aws-conflict2,1,24,7,2,1,25.316987861336628
aws-conflict1,12,27,5,4,2,30.357956968074514
aws-conflict3,0,15,4,0,1,15.813356941152582
