project,deletions,insertions,moves,diff_path,num_conflicts,overall
lesscss-maven-plugin-conflict1,5,0,2,0,1,5.477225575051661
camus-conflict2,4,16,24,0,0,29.309475618256755
camus-conflict1,13,6,10,1,0,17.80703615165672
camus-conflict3,2,2,17,0,0,17.551221069121866
maven-importC4,2,1,11,0,0,11.70856679984401
maven-importC2,3,2,1,0,0,4.102246594824132
maven-importC1,1,0,0,0,0,1.0
maven-importC3,0,0,1,0,0,1.0
alternator-conflict5,7,3,0,0,2,7.874007874011811
alternator-conflict6,0,1,2,0,1,2.8698550446842765
alternator-conflict2,1,10,1,0,1,10.198039027185569
alternator-conflict11,0,5,12,0,1,13.514773791694536
alternator-conflict9,0,10,4,0,7,12.96148139681572
alternator-conflict10,0,1,2,0,0,2.5326297720695568
alternator-conflict1,0,8,3,0,1,8.602325267042627
alternator-conflict14,0,6,1,0,2,6.4031242374328485
alternator-conflict8,0,4,0,0,0,4.47213595499958
alternator-conflict4,3,4,2,2,0,6.147831448837283
alternator-conflict3,0,3,0,0,0,3.0
alternator-conflict12,0,8,1,0,2,8.426149773176359
alternator-conflict13,1,1,9,0,0,9.54265464890659
openhtmltopdf-importC2,0,0,0,0,0,0.0
openhtmltopdf-importC1,146,13,2,0,1,146.5980900284857
antlr4-importC6,0,1,1,0,0,1.8477590650225735
antlr4-importC4,47,27,5,6,0,54.77603685520132
antlr4-importC5,1,0,1,0,0,1.8477590650225735
antlr4-importC2,2,1,13,0,0,13.45362404707371
antlr4-importC8,5,18,6,0,0,20.04477127890829
antlr4-importC1,4,6,4,0,3,8.855180041217293
antlr4-importC7,1,3,2,0,0,4.029400448888121
antlr4-importC3,1,1,6,0,0,6.48074069840786
java-websocket-conflict2,3,1,5,0,0,6.082762530298219
java-websocket-conflict1,1,1,0,0,1,1.7320508075688772
duke-conflict2,5,12,21,0,0,25.03996805109783
duke-conflict1,1,0,2,0,0,2.6899940478558295
duke-conflict4,1,2,1,0,0,2.449489742783178
duke-conflict3,4,0,0,0,0,4.242640687119285
mongojack-conflict2,2,1,0,1,0,2.6457513110645907
mongojack-conflict1,4,46,17,0,0,49.20365840057018
openshift-java-client-conflict5,8,0,0,0,0,8.366600265340756
openshift-java-client-conflict11,7,0,0,0,0,7.3484692283495345
openshift-java-client-conflict9,33,128,43,7,0,139.1910998507454
openshift-java-client-conflict10,52,49,15,8,0,73.4605301488002
openshift-java-client-conflict15,133,178,163,8,25,276.83243334628025
openshift-java-client-conflict8,6,0,0,0,0,6.324555320336759
openshift-java-client-conflict4,5,8,0,0,0,9.668098880079762
openshift-java-client-conflict3,6,15,1,0,0,16.24807680927192
openshift-java-client-conflict12,53,178,37,16,1,190.05587617323886
openshift-java-client-conflict13,2,0,1,0,0,2.23606797749979
openshift-java-client-conflict7,4,14,0,0,0,14.712992080300987
TwelveMonkeys-importC2,1,5,13,0,0,14.155746706095533
TwelveMonkeys-importC1,1,9,0,0,0,9.327379053088816
cucumber.jvm-importC6,0,1,0,2,0,2.5326297720695568
cucumber.jvm-importC4,2,0,0,0,0,2.23606797749979
cucumber.jvm-importC5,2,3,2,0,0,4.47213595499958
cucumber.jvm-importC2,0,0,1,1,0,1.7320508075688772
cucumber.jvm-importC1,0,5,0,0,0,5.291502622129181
cucumber.jvm-importC3,0,14,0,0,2,14.247806848775006
stateless4j-conflict6,4,12,3,0,1,13.038404810405298
stateless4j-conflict9,0,3,1,0,0,3.378492794482933
stateless4j-conflict8,0,4,1,0,0,4.291178574980665
stateless4j-conflict4,0,3,1,0,0,3.378492794482933
stateless4j-conflict3,4,43,1,0,1,43.22036556994862
stateless4j-conflict7,0,3,1,0,0,3.378492794482933
aws-conflict2,1,14,7,0,3,16.27573331486516
aws-conflict1,14,28,5,1,1,31.78049716414141
aws-conflict3,1,20,5,0,3,21.04904410533406
