project,deletions,insertions,moves,diff_path,num_conflicts,overall
cucumber.jvm-importC2,0,0,0,0,2,Error
cucumber.jvm-importC6,0,0,0,0,0,Error
cucumber.jvm-importC4,0,0,0,0,1,Error
cucumber.jvm-importC5,0,0,0,0,0,Error
cucumber.jvm-importC1,0,0,0,0,0,Error
cucumber.jvm-importC3,0,0,0,0,1,Error
lesscss-maven-plugin-conflict1,0,0,0,0,0,Error
camus-conflict2,0,0,0,0,2,Error
camus-conflict1,0,0,0,0,3,Error
camus-conflict3,0,0,0,0,1,Error
maven-importC4,0,0,0,0,6,Error
maven-importC2,0,0,0,0,0,Error
maven-importC1,0,0,0,0,1,Error
maven-importC3,0,0,0,0,0,Error
alternator-conflict5,0,0,0,0,0,Error
alternator-conflict6,0,0,0,0,0,Error
alternator-conflict2,0,0,0,0,11,Error
alternator-conflict11,0,0,0,0,0,Error
alternator-conflict9,0,0,0,0,0,Error
alternator-conflict10,0,0,0,0,0,Error
alternator-conflict1,0,0,0,0,0,Error
alternator-conflict14,0,0,0,0,0,Error
alternator-conflict8,0,0,0,0,0,Error
alternator-conflict4,0,0,0,0,1,Error
alternator-conflict3,0,0,0,0,0,Error
alternator-conflict12,0,0,0,0,0,Error
alternator-conflict13,0,0,0,0,0,Error
openhtmltopdf-importC2,0,0,0,0,3,Error
openhtmltopdf-importC1,0,0,0,0,1,Error
antlr4-importC6,0,0,0,0,0,Error
antlr4-importC4,0,0,0,0,1,Error
antlr4-importC5,0,0,0,0,0,Error
antlr4-importC2,0,0,0,0,0,Error
antlr4-importC8,0,0,0,0,0,Error
antlr4-importC1,0,0,0,0,7,Error
antlr4-importC7,0,0,0,0,0,Error
antlr4-importC3,0,0,0,0,0,Error
java-websocket-conflict2,0,0,0,0,0,Error
java-websocket-conflict1,0,0,0,0,1,Error
duke-conflict2,0,0,0,0,0,Error
duke-conflict1,0,0,0,0,0,Error
duke-conflict4,0,0,0,0,1,Error
duke-conflict3,0,0,0,0,0,Error
mongojack-conflict2,0,0,0,0,0,Error
mongojack-conflict1,0,0,0,0,3,Error
openshift-java-client-conflict5,1,38,15,3,0,40.98780306383839
openshift-java-client-conflict11,5,1,2,6,1,8.376292596379878
openshift-java-client-conflict9,0,0,0,0,6,Error
openshift-java-client-conflict10,37,19,10,1,1,42.82522621072771
openshift-java-client-conflict15,0,0,0,0,31,Error
openshift-java-client-conflict8,1,14,3,2,0,14.5400898746319
openshift-java-client-conflict4,1,2,0,0,1,2.449489742783178
openshift-java-client-conflict3,6,13,1,0,0,14.422205101855956
openshift-java-client-conflict12,0,0,0,0,18,Error
openshift-java-client-conflict13,0,0,0,0,1,Error
openshift-java-client-conflict7,0,0,0,0,2,Error
TwelveMonkeys-importC2,0,0,0,0,1,Error
TwelveMonkeys-importC1,0,0,0,0,1,Error
stateless4j-conflict6,0,0,0,0,0,Error
stateless4j-conflict9,0,0,0,0,0,Error
stateless4j-conflict8,0,0,0,0,0,Error
stateless4j-conflict4,0,0,0,0,0,Error
stateless4j-conflict3,0,0,0,0,0,Error
stateless4j-conflict7,0,0,0,0,0,Error
aws-conflict2,0,0,0,0,7,Error
aws-conflict1,0,0,0,0,2,Error
aws-conflict3,0,0,0,0,1,Error
Jest-conflict13,16,0,0,0,0,16.431676725154983
Jest-conflict14,12,0,0,0,0,12.409673645990855
Jest-conflict15,12,0,0,0,0,12.409673645990855
Jest-conflict12,7,0,0,0,0,7.3484692283495345
Jest-conflict7,24,0,0,0,0,24.454038521274967
Jest-conflict9,15,0,0,0,0,15.427248620541512
Jest-conflict8,38,0,0,0,0,38.47076812334269
Jest-conflict1,16,0,0,0,0,16.431676725154983
Jest-conflict10,15,0,0,0,0,15.427248620541512
Jest-conflict11,29,0,0,0,0,29.46183972531247
Jest-conflict3,7,0,0,0,0,7.3484692283495345
Jest-conflict4,12,0,0,0,0,12.409673645990855
Jest-conflict2,9,0,0,0,0,9.38083151964686
adt4j-conflict1,0,0,0,0,0,Error
FastCSV-conflict1,0,0,0,0,0,Error
FastCSV-conflict3,0,0,0,0,0,Error
FastCSV-conflict4,0,0,0,0,0,Error
FastCSV-conflict2,0,0,0,0,0,Error
reference_repos-jest-conflict9,0,0,0,0,0,Error
FastCV-conflict4,0,0,0,0,0,Error
