project,deletions,insertions,moves,diff_path,num_conflicts,overall
thefuck-importC1,1,3,1,2,0,4.05144586072344
blaze-importC2,0,2,9,0,2,9.910577402820326
blaze-importC1b,10,6,8,25,2,28.91850808546804
blaze-importC4,0,3,2,0,1,4.195896957202833
blaze-importC3,19,4,22,1,0,29.734423546138885
blaze-importC1a,5,7,8,51,13,54.052518852789625
cryptography-importC2,123,125,62,122,0,222.46319697395793
cryptography-importC3,1,4,1,0,0,4.600247565095642
cryptography-importC1,0,1,1,64,0,64.16426231854659
algorithms-importC2,52,46,14,14,0,72.23851551795228
algorithms-importC1,76,52,54,18,0,108.45286442864892
mypy-importC2,0,1,2,0,0,2.5326297720695568
mypy-importC4,2,4,10,0,0,11.360254624705266
mypy-importC3,5,3,3,0,0,6.769669646647921
mypy-importC1,2,5,4,0,0,7.017310074887619
transitions-conflict13,0,0,2,0,0,2.449489742783178
transitions-conflict14,1,0,0,0,1,1.4142135623730951
transitions-conflict25,0,2,0,0,1,2.23606797749979
transitions-conflict24,0,2,0,0,1,2.449489742783178
transitions-conflict23,32,70,18,5,2,79.22752047110903
transitions-conflict15,4,8,13,4,1,16.79471281100719
transitions-conflict12,1,1,1,0,1,2.23606797749979
transitions-conflict7,0,0,2,0,3,3.7416573867739413
transitions-conflict9,7,5,2,1,1,9.0
transitions-conflict1,0,0,0,0,1,1.0
transitions-conflict28,0,0,0,0,1,1.0
transitions-conflict17,0,0,1,0,1,1.7320508075688772
transitions-conflict10,0,0,4,0,1,4.47213595499958
transitions-conflict19,0,0,1,0,2,2.449489742783178
transitions-conflict26,6,4,1,0,1,7.3484692283495345
transitions-conflict20,0,0,1,0,1,1.7320508075688772
transitions-conflict18,17,20,3,0,1,26.457513110645905
transitions-conflict27,0,2,1,0,1,2.8698550446842765
transitions-conflict11,0,0,2,0,3,3.7416573867739413
transitions-conflict29,0,0,0,0,1,1.0
transitions-conflict16,0,1,0,0,1,1.7320508075688772
transitions-conflict3,3,17,13,5,5,22.956480566497994
transitions-conflict4,0,0,0,1,2,2.23606797749979
transitions-conflict2,1,0,1,0,1,2.0
simplecv-importC1,59,15,55,34,5,88.95504482602435
apistar-conflict13,1,8,2,0,1,8.77901291785503
apistar-conflict14,26,23,8,3,2,35.84689665786984
apistar-conflict12,1,1,4,0,1,4.808649043714634
apistar-conflict1,25,26,16,1,1,39.58455827634298
apistar-conflict6,2,1,3,0,0,3.7416573867739413
apistar-conflict17,0,1,1,1,0,2.1010029896154587
apistar-conflict10,0,0,1,0,1,1.4142135623730951
apistar-conflict19,1,2,5,0,0,5.841498577044906
apistar-conflict20,5,7,13,1,1,16.134736121695823
apistar-conflict11,0,0,1,0,1,1.4142135623730951
apistar-conflict16,8,5,7,1,0,11.849650356123302
apistar-conflict3,0,0,0,2,1,2.449489742783178
apistar-conflict4,0,0,0,6,0,6.244997998398398
apistar-conflict5,2,13,3,9,0,16.422795253320896
apistar-conflict2,0,14,4,11,0,18.461046819612008
pyjwt-conflict1,2,3,8,7,1,11.629540457440067
pyjwt-conflict2,0,0,0,23,1,23.043437243605826
python-oauth2-conflict1,1,0,1,0,1,1.7320508075688772
python-oauth2-conflict6,0,0,0,2,1,2.449489742783178
python-oauth2-conflict4,0,0,0,0,0,Error
python-oauth2-conflict5,0,0,0,0,1,1.0
python-oauth2-conflict2,47,0,0,0,0,47.21228653645151
errbot-conflict13,11,1,1,1,0,11.180339887498949
errbot-conflict14,0,3,3,0,2,5.12275713723765
errbot-conflict22,13,0,0,0,0,13.114877048604
errbot-conflict23,0,6,2,0,0,6.4031242374328485
errbot-conflict15,0,23,5,0,1,23.57965224510319
errbot-conflict12,0,1,0,0,0,1.4142135623730951
errbot-conflict7,7,19,6,29,1,35.93048844644336
errbot-conflict9,26,22,11,29,2,46.184412955021955
errbot-conflict8,9,16,8,2,1,20.174241001832016
errbot-conflict1,3,1,4,0,1,5.610003204544502
errbot-conflict6,1,1,0,5,1,5.5677643628300215
errbot-conflict17,1,3,8,22,4,24.12977851641484
errbot-conflict10,0,0,0,0,1,1.0
errbot-conflict19,3,3,0,0,0,4.242640687119285
errbot-conflict21,0,1,0,5,0,5.313762130308412
errbot-conflict20,1,9,2,0,1,9.709794533834406
errbot-conflict18,1,2,0,0,1,2.6457513110645907
errbot-conflict11,0,2,0,0,0,2.0
errbot-conflict16,0,3,2,0,2,4.490242494584049
errbot-conflict3,7,3,2,43,1,43.78468932759022
errbot-conflict4,34,31,19,28,2,57.16848841781196
errbot-conflict2,1,1,0,0,1,1.7320508075688772
