hash,left,right,base,file
06f941c,df88ef13,4e3c8585,01e6eb25,pom.xml
06f941c,df88ef13,4e3c8585,01e6eb25,release-notes/VERSION
06f941c,df88ef13,4e3c8585,01e6eb25,src/main/java/com/fasterxml/jackson/datatype/guava/ser/GuavaOptionalSerializer.java
6e26ba4,67603e13,44c50579,95b73f89,pom.xml
6e26ba4,67603e13,44c50579,95b73f89,release-notes/VERSION
39bc8ed,60326232,95b73f89,aa4f1257,pom.xml
39bc8ed,60326232,95b73f89,aa4f1257,release-notes/VERSION
90db60e,e46c4417,c55b8e73,71bed6be,release-notes/CREDITS
90db60e,e46c4417,c55b8e73,71bed6be,src/main/java/com/fasterxml/jackson/datatype/guava/deser/GuavaImmutableMapDeserializer.java
716cfbe,c38acac6,56a7a45f,b333383b,pom.xml
716cfbe,c38acac6,56a7a45f,b333383b,release-notes/VERSION
b333383,f02cafc6,b9b150a5,4399c5d0,pom.xml
b9b150a,4399c5d0,efcff7e1,68d85d5e,pom.xml
d995756,3eb649f1,4399c5d0,c10534d9,pom.xml
d995756,3eb649f1,4399c5d0,c10534d9,release-notes/VERSION
4399c5d,807e551f,68d85d5e,db9d8217,pom.xml
4399c5d,807e551f,68d85d5e,db9d8217,release-notes/VERSION
e113695,0ff30dcf,c10534d9,dc2f61bf,src/main/java/com/fasterxml/jackson/datatype/guava/ser/MultimapSerializer.java
3ee74a3,73816433,db9d8217,10098b8d,pom.xml
3ee74a3,73816433,db9d8217,10098b8d,release-notes/VERSION
3ee74a3,73816433,db9d8217,10098b8d,src/main/java/com/fasterxml/jackson/datatype/guava/ser/MultimapSerializer.java
0ac9b56,de591e3c,10098b8d,d48a4b86,release-notes/VERSION
b08f5a2,c41fb771,d48a4b86,cbe03c36,src/main/java/com/fasterxml/jackson/datatype/guava/GuavaSerializers.java
8b7c7cf,3077abf6,cbe03c36,e81b3267,src/main/java/com/fasterxml/jackson/datatype/guava/GuavaSerializers.java
c438ea6,3cc594be,e81b3267,2444afac,pom.xml
c438ea6,3cc594be,e81b3267,2444afac,release-notes/VERSION
