hash,left,right,base,file
f50ae7b05,33abdd2c,8b97b0a2,2c2bf6e6,maven-embedder/src/main/java/org/slf4j/impl/MavenSlf4jSimpleFriend.java
f50ae7b05,33abdd2c,8b97b0a2,2c2bf6e6,pom.xml
ebf2e4dde,2c2bf6e6,de40fe19,b1b526ac,pom.xml
137cbd8a9,3868007b,8181e7c7,39d063a4,maven-aether-provider/src/main/java/org/apache/maven/repository/internal/DefaultArtifactDescriptorReader.java
137cbd8a9,3868007b,8181e7c7,39d063a4,maven-aether-provider/src/main/java/org/apache/maven/repository/internal/DefaultVersionRangeResolver.java
137cbd8a9,3868007b,8181e7c7,39d063a4,maven-aether-provider/src/main/java/org/apache/maven/repository/internal/DefaultVersionResolver.java
137cbd8a9,3868007b,8181e7c7,39d063a4,maven-core/src/main/java/org/apache/maven/DefaultMaven.java
137cbd8a9,3868007b,8181e7c7,39d063a4,maven-core/src/main/java/org/apache/maven/plugin/internal/DefaultLegacySupport.java
137cbd8a9,3868007b,8181e7c7,39d063a4,maven-core/src/main/java/org/apache/maven/plugin/prefix/PluginPrefixResult.java
137cbd8a9,3868007b,8181e7c7,39d063a4,maven-embedder/src/main/java/org/apache/maven/cli/transfer/Slf4jMavenTransferListener.java
137cbd8a9,3868007b,8181e7c7,39d063a4,pom.xml
137cbd8a9,3868007b,8181e7c7,39d063a4,src/site/site.xml
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,apache-maven/pom.xml
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,maven-aether-provider/pom.xml
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,maven-aether-provider/src/main/java/org/apache/maven/repository/internal/DefaultArtifactDescriptorReader.java
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,maven-aether-provider/src/main/java/org/apache/maven/repository/internal/DefaultVersionRangeResolver.java
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,maven-aether-provider/src/main/java/org/apache/maven/repository/internal/DefaultVersionResolver.java
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,maven-aether-provider/src/main/java/org/apache/maven/repository/internal/LocalSnapshotMetadataGenerator.java
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,maven-aether-provider/src/main/java/org/apache/maven/repository/internal/RemoteSnapshotMetadataGenerator.java
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,maven-artifact/pom.xml
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,maven-compat/pom.xml
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,maven-compat/src/test/java/org/apache/maven/project/AbstractMavenProjectTestCase.java
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,maven-compat/src/test/java/org/apache/maven/project/LegacyLocalRepositoryManager.java
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,maven-core/pom.xml
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,maven-core/src/main/java/org/apache/maven/DefaultMaven.java
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,maven-core/src/main/java/org/apache/maven/ReactorReader.java
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,maven-core/src/main/java/org/apache/maven/plugin/DefaultPluginRealmCache.java
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,maven-core/src/main/java/org/apache/maven/project/DefaultProjectDependenciesResolver.java
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,maven-core/src/main/resources/META-INF/plexus/artifact-handlers.xml
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,maven-core/src/test/java/org/apache/maven/AbstractCoreMavenComponentTestCase.java
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,maven-core/src/test/java/org/apache/maven/project/AbstractMavenProjectTestCase.java
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,maven-core/src/test/java/org/apache/maven/project/LegacyLocalRepositoryManager.java
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,maven-core/src/test/java/org/apache/maven/project/PomConstructionTest.java
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,maven-core/src/test/java/org/apache/maven/repository/TestRepositoryConnector.java
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,maven-core/src/test/java/org/apache/maven/settings/PomConstructionWithSettingsTest.java
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,maven-embedder/pom.xml
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,maven-embedder/src/main/java/org/apache/maven/cli/MavenCli.java
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,maven-model-builder/pom.xml
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,maven-model-builder/src/main/java/org/apache/maven/model/building/DefaultModelBuilder.java
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,maven-model/pom.xml
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,maven-plugin-api/pom.xml
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,maven-plugin-api/src/main/mdo/plugin.mdo
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,maven-plugin-api/src/site/apt/index.apt
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,maven-repository-metadata/pom.xml
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,maven-settings-builder/pom.xml
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,maven-settings/pom.xml
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,pom.xml
27ad9858d,39d063a4,4fdcdbd2,c7c79e1f,src/site/site.xml
38d132b64,fdf808d0,fcffe3c9,4c61954e,apache-maven/src/bin/mvn
