hash,left,right,base,file
3549563e,913d3ce6,0768ae12,8d14cadf,pom.xml
913d3ce6,d832e2d9,8d14cadf,1790d61a,src/main/java/org/mongojack/JacksonMongoCollection.java
1f5a08cf,930cfa90,743f0990,345d9c15,pom.xml
82d1d778,3b6f444f,aba06148,7058e736,src/test/java/org/mongojack/MongoDBTestBase.java
fd3d13eb,15bf6788,8868059b,c78139e9,mongo-jackson-mapper/src/main/java/org/mongojack/JacksonDBCollection.java
fd3d13eb,15bf6788,8868059b,c78139e9,mongo-jackson-mapper/src/test/java/org/mongojack/TestJsonViews.java
fd3d13eb,15bf6788,8868059b,c78139e9,pom.xml
bc1280db,fc7a0b00,c78139e9,1cfdc893,pom.xml
8b604b6b,2ce49bf7,a7127c60,0ac6a14a,mongo-jackson-mapper/src/main/java/net/vz/mongodb/jackson/JacksonDBCollection.java
8b604b6b,2ce49bf7,a7127c60,0ac6a14a,mongo-jackson-mapper/src/main/java/net/vz/mongodb/jackson/internal/MongoAnnotationIntrospector.java
8b604b6b,2ce49bf7,a7127c60,0ac6a14a,mongo-jackson-mapper/src/main/java/net/vz/mongodb/jackson/internal/MongoJacksonDeserializers.java
8b604b6b,2ce49bf7,a7127c60,0ac6a14a,mongo-jackson-mapper/src/main/java/net/vz/mongodb/jackson/internal/MongoJacksonMapperModule.java
8b604b6b,2ce49bf7,a7127c60,0ac6a14a,mongo-jackson-mapper/src/main/java/net/vz/mongodb/jackson/internal/MongoJacksonSerializers.java
8b604b6b,2ce49bf7,a7127c60,0ac6a14a,mongo-jackson-mapper/src/main/java/net/vz/mongodb/jackson/internal/object/BsonObjectGenerator.java
8b604b6b,2ce49bf7,a7127c60,0ac6a14a,mongo-jackson-mapper/src/main/java/net/vz/mongodb/jackson/internal/object/BsonObjectTraversingParser.java
8b604b6b,2ce49bf7,a7127c60,0ac6a14a,mongo-jackson-mapper/src/main/java/net/vz/mongodb/jackson/internal/stream/ServerErrorProblemHandler.java
8b604b6b,2ce49bf7,a7127c60,0ac6a14a,pom.xml
2ce49bf7,1eec0477,1cfdc893,e9bcbd2c,mongo-jackson-mapper/src/main/java/net/vz/mongodb/jackson/JacksonDBCollection.java
2ce49bf7,1eec0477,1cfdc893,e9bcbd2c,mongo-jackson-mapper/src/main/java/net/vz/mongodb/jackson/internal/DBRefSerializer.java
2ce49bf7,1eec0477,1cfdc893,e9bcbd2c,mongo-jackson-mapper/src/main/java/net/vz/mongodb/jackson/internal/MongoJacksonDeserializers.java
2ce49bf7,1eec0477,1cfdc893,e9bcbd2c,mongo-jackson-mapper/src/main/java/net/vz/mongodb/jackson/internal/MongoJacksonMapperModule.java
2ce49bf7,1eec0477,1cfdc893,e9bcbd2c,pom.xml
70e6a4a3,9eda0cd1,c19cd4a7,64eb39e2,src/main/java/net/vz/mongodb/jackson/JacksonDBCollection.java
70e6a4a3,9eda0cd1,c19cd4a7,64eb39e2,src/main/java/net/vz/mongodb/jackson/internal/stream/DBEncoderBsonGenerator.java
70e6a4a3,9eda0cd1,c19cd4a7,64eb39e2,src/main/java/net/vz/mongodb/jackson/internal/stream/JacksonDBEncoder.java
70e6a4a3,9eda0cd1,c19cd4a7,64eb39e2,src/main/java/net/vz/mongodb/jackson/internal/stream/JacksonDBObject.java
70e6a4a3,9eda0cd1,c19cd4a7,64eb39e2,src/main/java/net/vz/mongodb/jackson/internal/stream/JacksonEncoderFactory.java
