hash,left,right,base,file
240b77d0,003b2428,31c4f475,dde1e84e,openhtmltopdf-core/src/main/java/com/openhtmltopdf/render/BlockBox.java
290b97b3,73937041,dde1e84e,4671e584,openhtmltopdf-examples/src/test/java/com/openhtmltopdf/visualregressiontests/VisualRegressionTest.java
554a3d98,fe55d727,ff947447,e44fb864,openhtmltopdf-objects/src/main/java/com/openhtmltopdf/objects/pdf/MergeBackgroundPdfDrawer.java
fc3cd07e,bbf6e459,b98f5b80,d6b7eb63,openhtmltopdf-core/src/main/java/com/openhtmltopdf/render/displaylist/PagedBoxCollector.java
fc3cd07e,bbf6e459,b98f5b80,d6b7eb63,openhtmltopdf-java2d/src/main/java/com/openhtmltopdf/java2d/Java2DOutputDevice.java
fc3cd07e,bbf6e459,b98f5b80,d6b7eb63,openhtmltopdf-java2d/src/main/java/com/openhtmltopdf/java2d/Java2DRenderer.java
208f37d0,5eb064fc,5fb570da,b8853841,openhtmltopdf-examples/src/test/java/com/openhtmltopdf/visualregressiontests/VisualRegressionTest.java
55370bcb,4c54cccf,15cbfd47,69d767a3,openhtmltopdf-examples/src/test/java/com/openhtmltopdf/visualregressiontests/TextVisualRegressionTest.java
55370bcb,4c54cccf,15cbfd47,69d767a3,openhtmltopdf-pdfbox/src/main/java/com/openhtmltopdf/pdfboxout/PdfRendererBuilder.java
7f2110e8,02b43e86,fa375ec7,957cd03b,openhtmltopdf-examples/src/test/java/com/openhtmltopdf/visualregressiontests/VisualRegressionTest.java
7f2110e8,02b43e86,fa375ec7,957cd03b,openhtmltopdf-svg-support/src/main/java/com/openhtmltopdf/svgsupport/BatikSVGImage.java
7f2110e8,02b43e86,fa375ec7,957cd03b,openhtmltopdf-svg-support/src/main/java/com/openhtmltopdf/svgsupport/PDFTranscoder.java
ae1a62a5,efa088fb,02c2a669,e4849ea5,openhtmltopdf-pdfbox/src/main/java/com/openhtmltopdf/pdfboxout/PdfRendererBuilderState.java
1a3da70e,454c3eb4,c8ff009b,e5726179,openhtmltopdf-examples/src/main/java/com/openhtmltopdf/testcases/TestcaseRunner.java
1a3da70e,454c3eb4,c8ff009b,e5726179,pom.xml
d4ac0a39,4564fd5e,949c4a61,c4fb186f,openhtmltopdf-examples/src/main/java/com/openhtmltopdf/testcases/TestcaseRunner.java
