hash,left,right,base,file
7b0c6940c,db5360b5,f77114ac,06042de0,src/cryptography/x509/oid.py
7b0c6940c,db5360b5,f77114ac,06042de0,tests/test_x509.py
64cf4cdcc,db34d7e3,4552fb87,b229eb3b,src/cryptography/x509/base.py
54b15f713,53a36a1f,122b5ed8,23cafe86,src/cryptography/x509.py
53a36a1f8,f5a4519f,23cafe86,a0a22d66,src/cryptography/hazmat/backends/openssl/backend.py
f5a4519f7,ac7f70a1,a0a22d66,5432f818,src/cryptography/hazmat/backends/openssl/x509.py
8a482ba46,32a08adb,095f9649,9e507d2a,src/cryptography/hazmat/bindings/openssl/asn1.py
8a482ba46,32a08adb,095f9649,9e507d2a,src/cryptography/hazmat/bindings/openssl/evp.py
a201a2f73,6f386b90,0ed7f565,4365b12f,tests/hazmat/primitives/test_cmac.py
91d0ba138,198bb653,4365b12f,4d05537f,tests/hazmat/backends/test_commoncrypto.py
91d0ba138,198bb653,4365b12f,4d05537f,tests/hazmat/backends/test_openssl.py
91d0ba138,198bb653,4365b12f,4d05537f,tests/hazmat/primitives/test_block.py
91d0ba138,198bb653,4365b12f,4d05537f,tests/hazmat/primitives/test_hashes.py
91d0ba138,198bb653,4365b12f,4d05537f,tests/hazmat/primitives/test_hmac.py
91d0ba138,198bb653,4365b12f,4d05537f,tests/hazmat/primitives/test_pbkdf2hmac.py
f484d1ef0,971b98d4,2f234634,a05af52d,cryptography/hazmat/primitives/hmac.py
971b98d40,0ea23363,a05af52d,60d8640b,tests/hazmat/primitives/test_hmac.py
633caacfe,67a4dd1a,60d8640b,126afca7,cryptography/utils.py
a8a3afbee,606f5f6b,b53fab7d,d3144608,cryptography/hazmat/backends/openssl/backend.py
a8a3afbee,606f5f6b,b53fab7d,d3144608,tests/hazmat/primitives/test_serialization.py
5fec2cb7a,1dfdd28c,150154fe,a73f1a1a,cryptography/hazmat/bindings/openssl/aes.py
cdd0d2f04,798c0345,23c641da,1805e721,tests/hazmat/primitives/test_rsa.py
cdd0d2f04,798c0345,23c641da,1805e721,tests/hazmat/primitives/utils.py
bf2a9d954,dee5c25d,78c2f2d2,c5b0aa06,docs/development/test-vectors.rst
8b347932f,25d24de1,1e8aa9b0,d8c8f7cd,cryptography/hazmat/backends/openssl/backend.py
ba7d5ecd3,b477b53f,43e4d7a1,93b37348,docs/hazmat/primitives/rsa.rst
c91f2392f,27864789,f970eaa6,ba5fcd97,tests/hazmat/backends/test_openssl.py
e4acd5d92,e035ba97,ba5fcd97,307437b1,docs/hazmat/backends/openssl.rst
5ff316753,3f17c7c6,307437b1,78456c71,cryptography/hazmat/bindings/openssl/binding.py
5ff316753,3f17c7c6,307437b1,78456c71,docs/hazmat/backends/openssl.rst
0216d60e0,0bf1f138,b2ff8773,99d51906,docs/changelog.rst
91a6892dd,aad090fe,79777fbf,1ff8735d,docs/changelog.rst
74169660e,9ad4d755,089a860f,c39559c6,cryptography/hazmat/bindings/openssl/binding.py
74169660e,9ad4d755,089a860f,c39559c6,tests/hazmat/backends/test_openssl.py
ac6e02a08,4969751f,d68fd37e,f96db83a,cryptography/hazmat/bindings/openssl/binding.py
327742c8e,eba623f8,f96db83a,c39559c6,setup.py
267dbc946,71e8ca0d,a6d5d6ec,522487e5,cryptography/hazmat/primitives/ciphers/modes.py
5bae063ff,09aa7463,a6d5d6ec,fbd7ffcd,docs/index.rst
b8dbb8967,607688cd,fa3d5aac,fbd7ffcd,cryptography/hazmat/backends/openssl/backend.py
69edb3b74,604afb5d,fa3d5aac,92217366,cryptography/hazmat/backends/openssl/backend.py
2a160d6a1,62aefffb,522487e5,ffb7726f,tests/hazmat/backends/test_openssl.py
2a160d6a1,62aefffb,522487e5,ffb7726f,tests/hazmat/primitives/test_block.py
9236a340b,e951cbc5,5132c2f8,c9e4128a,cryptography/hazmat/backends/openssl/ssl.py
e62760af7,c91fe6a2,0865a8b8,a4aa420c,tests/hazmat/primitives/test_hashes.py
e62760af7,c91fe6a2,0865a8b8,a4aa420c,tests/hazmat/primitives/test_hmac.py
3d1d97fa1,e73e89b2,a4ccb413,22af23eb,cryptography/hazmat/backends/openssl/evp.py
875b36be2,4eec0bb4,a4aa420c,db042cdb,tests/hazmat/primitives/utils.py
5175e4e63,973499ad,ffb7726f,774e2a6e,cryptography/hazmat/primitives/ciphers/modes.py
5175e4e63,973499ad,ffb7726f,774e2a6e,tests/hazmat/primitives/test_block.py
bb30eb160,3c25f61c,e60e1d78,eb7f2a37,tests/hazmat/primitives/test_block.py
fcd36a9bb,9d0d94d9,4faa0945,5e981fc4,cryptography/hazmat/primitives/hmac.py
c65204edd,6b3be7f0,df52fa9d,635b542d,cryptography/hazmat/primitives/padding.py
388c11a97,13ec4799,a5ba6e54,635b542d,dev-requirements.txt
129d61e07,a5f04c05,635b542d,60d4c688,docs/hazmat/primitives/symmetric-encryption.rst
4bdb6b54f,7e262a6d,79eaa7ef,d4e98f8d,tests/hazmat/bindings/test_openssl.py
9f7ea6e23,653463f0,c160079d,e5882092,cryptography/bindings/openssl/api.py
9f7ea6e23,653463f0,c160079d,e5882092,cryptography/primitives/block/base.py
6f874ff92,d6644815,71ed449f,b8f6a366,cryptography/bindings/openssl/api.py
2984b3f8f,5762647e,c21f9683,c1061753,cryptography/bindings/openssl/api.py
e761f8b33,62ebc7e2,169dee88,180606f3,cryptography/primitives/block/ciphers.py
e761f8b33,62ebc7e2,169dee88,180606f3,tests/primitives/test_nist.py
635ff50e7,96461f9e,66f225c5,0f967169,cryptography/bindings/openssl/api.py
89ce40612,ce916866,07877f48,0f967169,cryptography/bindings/openssl/api.py
6c7be9c4f,920e3300,180606f3,7816628a,tests/primitives/test_nist.py
446a45721,b19736c8,09f53578,ccc50621,setup.py
dc2260344,4373d7a2,32d136ef,7ad6a1d5,README.rst
e9d8a777f,3cae1d64,ccc50621,9464859d,docs/primitives/symmetric-encryption.rst
