hash,left,right,base,file
41484e98a,93ca940b,030e193e,f18697bb,test-data/run.test
b45d56a1f,35d5e893,8e39e0ad,ac9f59bb,mypy/parsetype.py
9dc2969ad,68aba199,e67c4adc,fe817728,typeshed
6500e4f69,7484ac28,5931ebd7,42f869ab,mypy/build.py
ebd5a98e9,9f601497,47b40a77,b3bc75cb,mypy/build.py
ebd5a98e9,9f601497,47b40a77,b3bc75cb,setup.py
4eb5417ac,6f841172,b3bc75cb,dcff596b,mypy/build.py
4eb5417ac,6f841172,b3bc75cb,dcff596b,mypy/test/testparse.py
4eb5417ac,6f841172,b3bc75cb,dcff596b,scripts/mypy
348bac821,46b960ec,d25daaa9,8c16820f,mypy/parse.py
348bac821,46b960ec,d25daaa9,8c16820f,mypy/test/data/check-type-aliases.test
348bac821,46b960ec,d25daaa9,8c16820f,mypy/test/data/parse-python2.test
348bac821,46b960ec,d25daaa9,8c16820f,mypy/test/data/semanal-python2.test
2836a55b6,8c16820f,409d5526,6cafa35f,stubs/3.2/queue.pyi
2836a55b6,8c16820f,409d5526,6cafa35f,stubs/3.2/traceback.pyi
cea92a5ea,7c7c0b1d,da74c3ae,a3c6d273,mypy/docstring.py
e9e4fef67,53e31209,ef10efdc,8c16820f,stubs/2.7/logging/__init__.pyi
e9e4fef67,53e31209,ef10efdc,8c16820f,stubs/2.7/logging/handlers.pyi
285b48d6b,064dca83,bbb2dd4f,21f4516a,lib-typing/3.2/typing.py
285b48d6b,064dca83,bbb2dd4f,21f4516a,mypy/nodes.py
285b48d6b,064dca83,bbb2dd4f,21f4516a,mypy/semanal.py
285b48d6b,064dca83,bbb2dd4f,21f4516a,mypy/types.py
9dc2803d7,7717b78b,41b254e1,404cc6c8,mypy/test/data/pythoneval.test
7717b78b8,c5e86343,9cfa3ba7,404cc6c8,mypy/test/data/pythoneval.test
0069167e5,3e95abb9,2fdc8662,14702418,mypy/test/data/parse.test
edc0285d7,9328797c,2d7bdc87,ed32d9a4,mypy/checker.py
edc0285d7,9328797c,2d7bdc87,ed32d9a4,mypy/checkexpr.py
edc0285d7,9328797c,2d7bdc87,ed32d9a4,mypy/parse.py
edc0285d7,9328797c,2d7bdc87,ed32d9a4,mypy/treetransform.py
