hash,left,right,base,file
9876cef,15966197,a95016ce,7ff2530c,SimpleCV/ImageClass.py
e78d901,e80743ca,6840085b,47497f34,SimpleCV/examples/arduino/CannyStream-arduino.py
e78d901,e80743ca,6840085b,47497f34,SimpleCV/examples/detection/face-substition.py
e78d901,e80743ca,6840085b,47497f34,SimpleCV/examples/detection/facetrack.py
e78d901,e80743ca,6840085b,47497f34,SimpleCV/examples/detection/x-ray.py
3e1ee05,7cee42b1,445d89d9,3d328fbd,SimpleCV/ImageClass.py
3d328fb,61c2cc78,3e5b38c5,585e7f8f,SimpleCV/tests/tests.py
3e5b38c,ecc3ea7a,85dc5f8a,efb3c05a,SimpleCV/Features/Blob.py
3e5b38c,ecc3ea7a,85dc5f8a,efb3c05a,SimpleCV/tests/tests.py
2c65f3f,b6fa0bc9,f261deb1,67473621,SimpleCV/Features/Detection.py
0a99a5b,7be5d4e9,63dcfbcc,03caa0c2,doc/sightmachine/layout.html
1d527e7,3de51a0a,ef12835c,d8610a4d,SimpleCV/ImageClass.py
b75c0a2,f9ed8ba4,3de51a0a,04a2f626,README.markdown
8ca0493,66b5a8f8,a5a54bf4,ed32991a,SimpleCV/LineScan.py
66b5a8f,7d59be01,75db00c1,43ca1844,SimpleCV/ImageClass.py
a9ff606,35930f15,ef8c49fa,4fa7ccdc,SimpleCV/Features/Detection.py
ef8c49f,375bdf87,601b8382,f6a62988,SimpleCV/Camera.py
058e6c1,d0b04ff4,47497f34,4c2ed2a4,SimpleCV/tests/tests.py
8e2bedc,363c660d,fd01aeef,ce40db99,SimpleCV/tests/tests.py
91fbb94,f50a2a04,af29e047,9a89f4e3,SimpleCV/ImageClass.py
91fbb94,f50a2a04,af29e047,9a89f4e3,SimpleCV/Shell/Shell.py
91fbb94,f50a2a04,af29e047,9a89f4e3,SimpleCV/base.py
91fbb94,f50a2a04,af29e047,9a89f4e3,SimpleCV/tests/standard/test_applySideBySide10.jpg
91fbb94,f50a2a04,af29e047,9a89f4e3,SimpleCV/tests/standard/test_applySideBySide11.jpg
91fbb94,f50a2a04,af29e047,9a89f4e3,SimpleCV/tests/standard/test_applySideBySide14.jpg
91fbb94,f50a2a04,af29e047,9a89f4e3,SimpleCV/tests/standard/test_applySideBySide15.jpg
91fbb94,f50a2a04,af29e047,9a89f4e3,SimpleCV/tests/standard/test_detection_blobs_lazy2.jpg
91fbb94,f50a2a04,af29e047,9a89f4e3,SimpleCV/tests/standard/test_detection_blobs_lazy6.jpg
